,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Shitanjing,8,CN,1570171506,38,39.23,106.34,58.66,14.99
1,Sao Filipe,84,CV,1570171184,83,14.9,-24.5,78.51,1.83
2,Ushuaia,40,AR,1570171509,70,-54.81,-68.31,42.8,12.75
3,Port Elizabeth,90,US,1570170947,88,39.31,-74.98,71.6,8.05
4,Faanui,22,PF,1570171421,80,-16.48,-151.75,78.47,16.98
5,Rikitea,83,PF,1570171512,78,-23.12,-134.97,69.56,24.58
6,Yellowknife,20,CA,1570171514,93,62.45,-114.38,39.2,4.7
7,Albany,90,US,1570171223,93,42.65,-73.75,53.01,3.36
8,Busselton,87,AU,1570171516,61,-33.64,115.35,64.0,29.44
9,Port Alfred,30,ZA,1570171518,72,-33.59,26.89,66.0,3.0
10,Punta Arenas,75,CL,1570170976,70,-53.16,-70.91,42.8,17.22
11,Saskylakh,0,RU,1570171520,77,71.97,114.09,18.79,1.43
12,Fort Abbas,79,PK,1570171521,32,29.19,72.85,90.82,2.33
13,Butaritari,100,KI,1570171077,70,3.07,172.79,83.01,9.71
14,Thompson,5,CA,1570171524,80,55.74,-97.86,33.8,4.7
15,Vaini,40,IN,1570171525,69,15.34,74.49,80.6,2.24
16,Mahanoro,61,MG,1570171498,66,-19.9,48.8,79.36,2.51
17,Bredasdorp,97,ZA,1570171528,59,-34.53,20.04,63.0,3.36
18,Baruun-Urt,0,MN,1570170956,30,46.68,113.28,46.02,11.99
19,Saint-Philippe,90,CA,1570171440,100,45.36,-73.48,46.0,11.41
20,Puerto Ayora,100,EC,1570170939,97,-0.74,-90.35,64.99,3.0
21,Zhigansk,30,RU,1570171291,53,66.77,123.37,29.21,5.79
22,Vao,100,EE,1570171534,86,59.1,26.19,38.86,11.03
23,Mataura,99,NZ,1570171413,58,-46.19,168.86,57.99,15.01
24,Iralaya,22,HN,1570171537,93,15.0,-83.23,76.1,2.84
25,Kenai,90,US,1570171538,81,60.55,-151.26,44.6,2.06
26,Barrow,100,AR,1570171539,63,-38.31,-60.23,41.38,9.08
27,Aracati,22,BR,1570171541,80,-4.56,-37.77,75.9,6.51
28,Richards Bay,35,ZA,1570171019,79,-28.77,32.06,69.26,9.06
29,Bethel,90,US,1570171170,93,60.79,-161.76,46.4,20.8
30,Upernavik,79,GL,1570171073,75,72.79,-56.15,37.29,10.29
31,Kanniyakumari,79,IN,1570171546,76,8.08,77.57,82.33,10.31
32,Victoria,75,BN,1570171547,70,5.28,115.24,87.8,5.82
33,Carnarvon,0,ZA,1570171549,21,-30.97,22.13,55.76,1.1
34,New Norfolk,40,AU,1570170953,53,-42.78,147.06,53.6,16.11
35,Westport,90,US,1570171423,100,41.14,-73.36,60.01,2.68
36,Aswan,0,EG,1570171163,26,24.09,32.9,82.4,8.05
37,Yeppoon,0,AU,1570171554,39,-23.13,150.74,78.8,9.17
38,Esmeraldas,0,BR,1570171555,63,-19.76,-44.31,68.0,8.05
39,Cabo San Lucas,44,MX,1570170995,75,22.89,-109.91,81.0,7.29
40,Tasiilaq,100,GL,1570171558,75,65.61,-37.64,42.8,18.34
41,Atuona,22,PF,1570171559,78,-9.8,-139.03,79.99,17.43
42,Arlit,0,NE,1570171137,10,18.74,7.39,86.34,8.03
43,Souillac,75,FR,1570171561,93,45.6,-0.6,61.0,6.93
44,Alamogordo,75,US,1570171563,100,32.9,-105.96,64.4,6.93
45,Dikson,100,RU,1570171524,91,73.51,80.55,27.8,26.53
46,Cape Town,40,ZA,1570171274,77,-33.93,18.42,64.0,18.34
47,Pevek,100,RU,1570171567,72,69.7,170.27,32.29,17.4
48,Dubbo,0,AU,1570171568,8,-32.25,148.6,87.8,14.99
49,Bluff,0,AU,1570171428,19,-23.58,149.07,83.3,13.33
50,Norman Wells,75,CA,1570171113,93,65.28,-126.83,39.2,3.36
51,Ilam,0,IR,1570171572,15,33.64,46.42,80.6,11.41
52,Vinh,70,VN,1570171573,56,18.67,105.69,91.18,2.86
53,Isiro,98,CD,1570171574,95,2.77,27.62,70.9,1.48
54,Muisne,100,EC,1570171576,87,0.61,-80.02,74.35,16.84
55,Chuy,100,UY,1570171577,89,-33.69,-53.46,55.67,19.71
56,Hithadhoo,89,MV,1570171046,78,-0.6,73.08,81.98,12.3
57,Chimbote,82,PE,1570171100,93,-9.08,-78.59,60.78,12.24
58,Naze,100,NG,1570171581,96,5.43,7.07,72.1,2.48
59,San Luis de la Paz,25,MX,1570171583,88,21.3,-100.52,60.01,3.36
60,Ponta do Sol,0,BR,1570171584,62,-20.63,-46.0,64.09,7.61
61,Sitka,98,US,1570171586,85,37.17,-99.65,53.01,9.42
62,Rawson,41,AR,1570171328,45,-43.3,-65.11,49.94,19.91
63,Kukuna,100,SL,1570171588,97,8.64,-12.57,73.52,2.51
64,Lasa,20,CY,1570171590,50,34.92,32.53,77.0,3.36
65,Yalvac,0,TR,1570171591,62,38.3,31.18,57.2,3.36
66,Benjamin Constant,40,BR,1570171592,100,-4.38,-70.03,75.2,2.24
67,Arman,91,RU,1570171429,83,59.7,150.17,24.98,5.59
68,Beringovskiy,0,RU,1570171360,64,63.05,179.32,24.17,18.05
69,San Quintin,1,PH,1570171176,75,17.54,120.52,83.32,6.2
70,Hermanus,100,ZA,1570171386,69,-34.42,19.24,63.0,11.01
71,Kushiro,75,JP,1570171599,100,43.11,144.15,62.6,20.8
72,Castro,90,CL,1570171600,86,-42.48,-73.76,41.0,2.15
73,Vila Velha,40,BR,1570171601,78,-3.71,-38.6,78.8,14.99
74,Jamestown,96,AU,1570171602,13,-33.21,138.6,90.34,20.07
75,Poli,100,CM,1570171604,95,8.48,13.24,71.08,3.8
76,Chokurdakh,100,RU,1570171415,95,70.62,147.9,27.32,18.92
77,Inhambane,75,MZ,1570171606,69,-23.87,35.38,75.2,9.17
78,Ust-Maya,39,RU,1570171608,45,60.42,134.54,32.66,2.48
79,Hilo,90,US,1570171609,78,19.71,-155.08,78.8,9.17
80,Vila Franca do Campo,20,PT,1570171408,88,37.72,-25.43,69.01,12.75
81,Turukhansk,100,RU,1570171197,96,65.8,87.96,44.74,12.73
82,Cockburn Town,100,TC,1570171613,75,21.46,-71.14,83.08,6.49
83,Gambela,93,ET,1570171614,90,8.25,34.59,72.61,0.43
84,Aquiraz,40,BR,1570171616,78,-3.9,-38.39,78.8,14.99
85,Poum,75,MK,1570170867,93,41.28,20.71,50.0,3.36
86,La Romana,40,DO,1570171618,94,18.43,-68.97,77.0,4.07
87,Qaanaaq,75,GL,1570171393,61,77.48,-69.36,26.06,7.99
88,Lavrentiya,100,RU,1570171621,96,65.58,-170.99,33.22,6.13
89,Longyearbyen,75,NO,1570171252,96,78.22,15.63,32.0,4.7
90,Lagoa,0,PT,1570171624,82,37.14,-8.45,66.2,8.05
91,Zarinsk,44,RU,1570171625,49,53.71,84.95,50.48,7.94
92,Hurricane,1,US,1570171626,42,37.18,-113.29,64.4,10.85
93,Kodiak,40,US,1570171312,93,39.95,-94.76,50.0,6.93
94,Haines Junction,71,CA,1570171068,69,60.75,-137.51,31.75,1.99
95,Anadyr,20,RU,1570171630,68,64.73,177.51,28.4,29.08
96,Olinda,75,AU,1570171631,81,-37.84,145.39,55.99,11.41
97,Havelock,20,US,1570171092,88,34.88,-76.9,80.6,6.93
98,Tongren,29,CN,1570171634,46,27.72,109.18,86.74,4.63
99,Ancud,90,CL,1570171635,86,-41.87,-73.83,41.0,3.42
100,Tumut,18,AU,1570171637,57,-35.3,148.22,67.6,6.26
101,Okhotsk,0,RU,1570171153,38,59.36,143.24,33.01,16.46
102,Avenal,20,US,1570171639,44,36.0,-120.13,64.4,11.41
103,Teahupoo,20,PF,1570171641,74,-17.83,-149.27,78.8,4.7
104,Talnakh,75,RU,1570171642,100,69.49,88.39,41.0,17.9
105,Kisaran,100,ID,1570171643,57,2.98,99.62,88.46,1.16
106,Clyde River,90,CA,1570171332,94,70.47,-68.59,32.0,5.82
107,Guerrero Negro,0,MX,1570171646,78,27.97,-114.04,67.48,13.67
108,Barra Patuca,91,HN,1570171647,82,15.8,-84.28,82.13,10.67
109,Namatanai,58,PG,1570171649,78,-3.66,152.44,80.47,9.42
110,Garissa,28,KE,1570171650,58,-0.46,39.64,82.61,17.31
111,Kavieng,77,PG,1570171195,69,-2.57,150.8,84.72,9.57
112,Cap Malheureux,11,MU,1570171652,86,-19.98,57.61,77.0,5.99
113,Geraldton,75,CA,1570171060,86,49.72,-86.95,33.8,3.36
114,Kantilo,75,IN,1570171655,74,20.35,85.18,87.8,2.24
115,Gamba,0,CN,1570171657,38,28.28,88.52,46.27,5.1
116,Pahalgam,100,IN,1570171658,53,34.03,75.33,61.05,4.97
117,Provideniya,90,RU,1570171659,69,64.42,-173.23,35.6,15.66
118,Kayes,88,ML,1570171661,76,14.44,-11.44,80.09,11.88
119,Rorvik,0,NO,1570171662,86,64.86,11.24,35.01,12.75
120,Kapaa,75,US,1570171664,78,22.08,-159.32,80.6,19.46
121,Teya,40,MX,1570171665,94,21.05,-89.07,80.01,2.04
122,Lebu,10,ET,1570171666,81,8.96,38.73,59.92,4.47
123,Damghan,18,IR,1570171668,29,36.17,54.34,60.65,6.11
124,Ostrovnoy,99,RU,1570171669,81,68.05,39.51,34.82,12.53
125,Albion,1,US,1570171601,93,41.69,-98.0,42.01,3.36
126,Butia,5,BR,1570171672,71,-21.88,-47.57,61.54,7.49
127,Cururupu,1,BR,1570171303,98,-1.82,-44.87,71.51,2.28
128,Oda,75,JP,1570171674,68,35.19,132.5,71.6,13.87
129,Tommot,100,RU,1570171263,94,58.97,126.27,34.64,10.63
130,Constitucion,79,MX,1570171677,70,23.99,-104.67,63.0,1.9
131,Alcudia,0,ES,1570171678,87,39.85,3.12,70.0,5.82
132,Coquimbo,0,CL,1570171497,76,-29.95,-71.34,50.0,22.03
133,Mahebourg,34,MU,1570171680,86,-20.41,57.7,77.0,5.99
134,Ternate,90,PH,1570171682,83,14.29,120.72,84.0,5.82
135,Ahipara,0,NZ,1570171683,85,-35.17,173.16,57.0,11.25
136,Dwarka,40,IN,1570171593,69,28.58,77.04,86.0,9.17
137,Keelung,40,TW,1570171686,63,25.13,121.74,91.4,9.17
138,Bergen,20,NO,1570171687,65,60.39,5.33,46.99,6.93
139,Uribia,47,CO,1570171688,85,11.71,-72.27,79.01,5.75
140,Ratnagiri,89,IN,1570171690,77,16.98,73.3,83.19,9.98
141,Cherskiy,100,RU,1570171691,93,68.75,161.3,24.2,6.46
142,Sarany,100,RU,1570171693,95,58.55,58.76,50.29,9.4
143,Bambous Virieux,34,MU,1570171640,86,-20.34,57.76,77.0,5.99
144,Kruisfontein,60,ZA,1570171695,66,-34.0,24.73,59.77,4.32
145,Cidreira,100,BR,1570171472,95,-30.17,-50.22,64.49,11.77
146,Labuhan,91,ID,1570171698,39,-2.54,115.51,91.09,7.45
147,Bassar,75,TG,1570171699,83,9.26,0.78,69.8,5.82
148,Avera,1,US,1570171700,73,33.19,-82.53,80.6,4.7
149,Eureka,75,US,1570171609,100,40.8,-124.16,50.0,4.7
150,Ninghai,75,CN,1570171703,55,29.29,121.42,91.99,2.24
151,Biak,75,ID,1570171704,70,-0.91,122.88,72.44,6.51
152,Pisco,35,PE,1570171705,88,-13.71,-76.2,62.6,4.7
153,Tambacounda,75,SN,1570171707,83,13.77,-13.67,78.8,4.7
154,Brunsbuttel,90,DE,1570171708,100,53.9,9.15,48.2,5.82
155,Jinchang,98,CN,1570171287,63,38.52,102.19,51.91,15.17
156,Nikolskoye,90,RU,1570171446,86,59.7,30.79,37.99,8.95
157,Hobart,40,AU,1570171712,40,-42.88,147.33,51.8,19.46
158,Lima,90,PE,1570171271,93,-12.06,-77.04,60.8,9.17
159,Ribeira Grande,75,PT,1570171715,83,38.52,-28.7,71.6,12.75
160,Arraial do Cabo,1,BR,1570171716,91,-22.97,-42.02,68.68,12.71
161,Puerto Carreno,100,CO,1570171717,97,6.19,-67.49,74.23,4.85
162,Indiana,90,US,1570171719,88,40.62,-79.15,64.99,6.58
163,Aplahoue,99,BJ,1570171720,96,6.93,1.68,71.83,2.55
164,Tarauaca,97,BR,1570171722,96,-8.16,-70.77,71.54,2.71
165,Saldanha,14,PT,1570171524,94,41.42,-6.55,57.52,1.43
166,Sur,0,OM,1570171724,39,22.57,59.53,94.85,5.01
167,Grand Gaube,11,MU,1570171726,86,-20.01,57.66,77.0,5.99
168,Bella Union,95,CO,1570171727,94,8.5,-73.35,66.63,2.33
169,San Cristobal,100,HN,1570171729,96,14.68,-86.92,67.24,1.97
170,Bathsheba,40,BB,1570171118,78,13.22,-59.52,82.4,5.82
171,Dandong,67,CN,1570171731,61,40.12,124.37,62.29,16.37
172,Ambilobe,24,MG,1570171732,42,-13.19,49.05,88.48,11.74
173,Chumikan,0,RU,1570171373,35,54.72,135.31,41.74,12.84
174,Sobolevo,100,RU,1570171735,89,54.43,31.9,44.94,10.96
175,Tshikapa,100,CD,1570171736,90,-6.42,20.79,71.99,4.23
176,Lorengau,65,PG,1570171737,72,-2.02,147.27,83.24,5.99
177,Celestun,0,MX,1570171739,79,20.87,-90.4,82.25,6.2
178,Saint-Augustin,90,CA,1570171404,93,45.63,-73.98,44.01,8.05
179,Mopipi,0,BW,1570171742,51,-21.2,24.86,72.97,16.73
180,Evensk,7,RU,1570171154,52,61.92,159.24,30.45,2.44
181,Komsomolskiy,100,RU,1570171744,96,67.55,63.78,34.77,18.34
182,Uvat,100,RU,1570171746,74,59.14,68.9,44.71,9.84
183,Miri,92,NG,1570171747,83,10.31,9.75,71.9,4.61
184,Goderich,62,CA,1570171748,86,43.74,-81.71,55.99,17.0
185,Takaka,9,NZ,1570171750,85,-40.86,172.81,57.99,7.0
186,Mitchell,75,US,1570171751,93,43.71,-98.03,37.4,5.82
187,Mount Gambier,40,AU,1570171752,87,-37.83,140.78,53.6,11.41
188,Husavik,0,CA,1570171204,85,50.56,-96.99,41.0,5.44
189,Maniitsoq,56,GL,1570171755,57,65.42,-52.9,39.74,11.77
190,Roald,0,NO,1570171756,56,62.58,6.12,44.6,9.17
191,Isangel,75,VU,1570171220,64,-19.55,169.27,75.2,5.82
192,Hokitika,100,NZ,1570171759,78,-42.72,170.96,50.86,1.34
193,Ewa Beach,75,US,1570171760,78,21.32,-158.01,82.0,3.36
194,Bay Roberts,40,CA,1570171762,86,47.58,-53.28,41.0,14.99
195,Sechura,90,PE,1570171763,88,-5.56,-80.82,63.17,13.98
196,Alvaraes,45,BR,1570171764,85,-3.22,-64.8,74.19,2.01
197,Aklavik,90,CA,1570171765,100,68.22,-135.01,35.6,1.83
198,Zhangye,0,CN,1570171292,44,38.94,100.46,58.78,7.23
199,Bilibino,86,RU,1570171681,96,68.06,166.44,6.8,2.75
200,Iqaluit,20,CA,1570171769,79,63.75,-68.52,32.0,18.34
201,Kieta,98,PG,1570171771,80,-6.22,155.63,81.52,14.38
202,Lahat,100,ID,1570171772,39,-3.78,103.55,86.02,6.91
203,Assen,90,NL,1570171773,93,53.0,6.56,50.0,6.93
204,Tezu,0,IN,1570171775,54,27.93,96.16,86.41,2.86
205,Katsuura,40,JP,1570171776,51,33.93,134.5,82.4,16.11
206,Maceio,40,BR,1570171205,94,-9.67,-35.74,73.4,2.24
207,Balaipungut,34,ID,1570171779,72,1.11,101.31,85.12,2.82
208,Miranda,7,BR,1570171780,63,-20.24,-56.38,75.83,0.81
209,Muros,90,ES,1570171781,100,42.77,-9.06,64.0,2.24
210,Necochea,100,AR,1570171783,81,-38.55,-58.74,44.01,4.0
211,Marawi,51,PH,1570171784,78,8.0,124.29,84.0,4.0
212,Ribas do Rio Pardo,35,BR,1570171785,64,-20.45,-53.76,75.99,1.92
213,Atambua,0,ID,1570171786,72,-9.11,124.89,79.32,10.51
214,Hasaki,40,JP,1570171788,61,35.73,140.83,84.0,13.87
215,Pundaguitan,41,PH,1570171789,72,6.37,126.17,82.97,8.59
216,Hobyo,40,SO,1570171790,60,5.35,48.53,85.01,6.98
217,Sabang,37,PH,1570171792,78,13.8,121.11,82.0,4.0
218,Margate,40,AU,1570171793,40,-43.03,147.26,51.8,19.46
219,Aksu,0,KZ,1570171794,26,52.04,76.93,60.8,6.71
220,Mercedes,62,UY,1570171796,82,-33.25,-58.03,55.99,5.99
221,Qiongshan,40,CN,1570171797,66,20.01,110.35,87.8,13.42
222,Zlitan,0,LY,1570171798,63,32.47,14.57,72.35,18.54
223,Saint George,75,GR,1570171800,72,39.45,22.34,66.2,6.93
224,Severo-Kurilsk,100,RU,1570171801,75,50.68,156.12,42.46,13.49
225,Cabra,0,ES,1570171802,87,37.47,-4.43,60.01,3.36
226,Narsaq,72,GL,1570171258,32,60.91,-46.05,51.8,13.87
227,Nelson Bay,0,AU,1570171805,78,-32.72,152.14,72.0,26.4
228,Benguela,70,AO,1570171806,85,-12.58,13.4,70.55,7.29
229,Russell,90,US,1570171808,76,38.9,-98.86,55.99,10.29
230,Goba,3,ET,1570171809,79,7.01,39.97,55.4,3.02
231,Torrington,1,US,1570171810,61,42.06,-104.18,50.0,16.11
232,Kalga,66,RU,1570171812,34,50.92,118.9,43.91,11.56
233,West Bay,75,CA,1570171813,81,49.34,-123.21,53.01,9.17
234,Erdenet,0,MN,1570171814,55,49.03,104.04,39.49,5.93
235,Namibe,24,AO,1570171816,75,-15.19,12.15,66.14,0.65
236,Padang,72,ID,1570171817,87,-0.92,100.36,78.04,14.56
237,Taltal,0,CL,1570171818,89,-25.41,-70.49,47.06,0.78
238,San Patricio,89,PY,1570171427,96,-26.98,-56.83,69.26,3.0
239,Tiksi,100,RU,1570171821,90,71.64,128.87,27.14,24.09
240,Sturlic,5,BA,1570171822,91,45.06,15.78,46.0,2.55
241,Amga,50,RU,1570171824,50,60.89,131.98,32.09,5.5
242,Marsh Harbour,0,BS,1570171825,81,26.54,-77.06,80.36,8.75
243,Kaihua,0,CN,1570171826,31,29.14,118.41,92.05,5.64
244,Karpogory,100,RU,1570171828,87,64.0,44.44,34.21,8.57
245,Alamor,100,EC,1570171829,78,-4.02,-80.02,63.01,7.2
246,Havoysund,40,NO,1570171830,86,71.0,24.66,33.8,8.05
247,Fukue,20,JP,1570171832,61,35.03,136.69,79.0,25.28
248,Dekar,27,BW,1570171833,29,-21.53,21.93,70.07,1.54
249,Eydhafushi,100,MV,1570171834,66,5.1,73.07,83.37,5.06
250,Otane,0,NZ,1570171836,70,-39.89,176.62,50.0,8.01
251,Nome,1,US,1570171413,88,30.04,-94.42,78.8,6.93
252,Kuznetsk,74,RU,1570171838,76,53.11,46.6,58.15,14.81
253,Kargopol,100,RU,1570171839,97,61.51,38.95,32.5,12.12
254,Los Llanos de Aridane,40,ES,1570171298,83,28.66,-17.92,75.0,12.75
255,Poya,21,NC,1570171842,73,-21.35,165.16,69.64,22.66
256,Nemuro,75,JP,1570171409,100,43.32,145.57,59.0,4.7
257,San Borja,100,BO,1570171845,97,-14.86,-66.75,68.36,1.72
258,Taiobeiras,23,BR,1570171846,86,-15.81,-42.23,64.31,8.88
259,Te Anau,90,NZ,1570171847,84,-45.41,167.72,46.99,9.64
260,Port Lincoln,100,AU,1570171849,82,-34.72,135.86,59.88,15.43
261,Avarua,64,CK,1570171850,73,-21.21,-159.78,75.2,4.7
